{0: 3, 1: 3, 2: 3, 3: 4, 4: 4, 5: 2, 6: 5, 7: 3}
{0: 4, 1: 3, 2: 4, 3: 4, 4: 4, 5: 3, 6: 6, 7: 4}
{0: 4, 1: 3, 2: 5, 3: 5, 4: 4, 5: 4, 6: 7, 7: 5}
{0: 4, 1: 3, 2: 5, 3: 6, 4: 5, 5: 5, 6: 8, 7: 5}
{0: 5, 1: 4, 2: 5, 3: 6, 4: 5, 5: 6, 6: 9, 7: 5}
{0: 6, 1: 4, 2: 6, 3: 7, 4: 6, 5: 6, 6: 9, 7: 6}
{0: 7, 1: 5, 2: 6, 3: 7, 4: 7, 5: 7, 6: 10, 7: 6}
{0: 7, 1: 6, 2: 6, 3: 7, 4: 8, 5: 8, 6: 11, 7: 7}
{0: 7, 1: 7, 2: 6, 3: 8, 4: 9, 5: 9, 6: 12, 7: 7}
{0: 7, 1: 8, 2: 7, 3: 9, 4: 10, 5: 10, 6: 12, 7: 7}
{0: 7, 1: 9, 2: 8, 3: 9, 4: 11, 5: 10, 6: 13, 7: 8}
{0: 8, 1: 9, 2: 8, 3: 9, 4: 11, 5: 11, 6: 14, 7: 9}
{0: 9, 1: 9, 2: 9, 3: 9, 4: 11, 5: 12, 6: 14, 7: 10}
{0: 10, 1: 9, 2: 9, 3: 10, 4: 12, 5: 13, 6: 14, 7: 10}
{0: 10, 1: 10, 2: 9, 3: 10, 4: 12, 5: 14, 6: 15, 7: 11}
{0: 11, 1: 10, 2: 10, 3: 10, 4: 13, 5: 14, 6: 16, 7: 12}
{0: 11, 1: 11, 2: 11, 3: 10, 4: 14, 5: 14, 6: 16, 7: 13}
{0: 11, 1: 12, 2: 11, 3: 11, 4: 14, 5: 15, 6: 17, 7: 14}
{0: 11, 1: 13, 2: 11, 3: 12, 4: 15, 5: 16, 6: 18, 7: 14}
{0: 11, 1: 14, 2: 12, 3: 13, 4: 16, 5: 17, 6: 18, 7: 14}
{0: 11, 1: 14, 2: 13, 3: 14, 4: 17, 5: 18, 6: 18, 7: 14}
{0: 11, 1: 14, 2: 14, 3: 15, 4: 18, 5: 18, 6: 19, 7: 15}
{0: 11, 1: 15, 2: 15, 3: 16, 4: 18, 5: 18, 6: 20, 7: 16}
{0: 11, 1: 16, 2: 16, 3: 16, 4: 19, 5: 18, 6: 21, 7: 17}
{0: 12, 1: 17, 2: 17, 3: 16, 4: 20, 5: 19, 6: 21, 7: 17}

{0: 1, 1: 0, 2: 1, 3: 1, 4: 1, 5: 0, 6: 0, 7: 1}
{0: 1, 1: 1, 2: 2, 3: 1, 4: 2, 5: 1, 6: 1, 7: 1}
{0: 2, 1: 2, 2: 2, 3: 2, 4: 2, 5: 1, 6: 2, 7: 2}
{0: 3, 1: 3, 2: 2, 3: 2, 4: 3, 5: 2, 6: 3, 7: 2}
{0: 4, 1: 4, 2: 2, 3: 3, 4: 4, 5: 3, 6: 3, 7: 2}
{0: 5, 1: 5, 2: 2, 3: 4, 4: 5, 5: 3, 6: 3, 7: 3}
{0: 6, 1: 5, 2: 3, 3: 5, 4: 5, 5: 4, 6: 3, 7: 4}
{0: 7, 1: 6, 2: 3, 3: 5, 4: 6, 5: 5, 6: 4, 7: 4}
{0: 8, 1: 7, 2: 3, 3: 6, 4: 7, 5: 5, 6: 4, 7: 4}
{0: 8, 1: 8, 2: 4, 3: 6, 4: 8, 5: 6, 6: 5, 7: 4}
{0: 9, 1: 9, 2: 5, 3: 6, 4: 8, 5: 6, 6: 6, 7: 5}
{0: 10, 1: 9, 2: 5, 3: 7, 4: 9, 5: 7, 6: 7, 7: 5}
{0: 11, 1: 9, 2: 6, 3: 8, 4: 10, 5: 7, 6: 8, 7: 5}
{0: 12, 1: 10, 2: 6, 3: 9, 4: 11, 5: 7, 6: 9, 7: 5}
{0: 12, 1: 10, 2: 7, 3: 9, 4: 12, 5: 8, 6: 10, 7: 6}
{0: 12, 1: 11, 2: 7, 3: 9, 4: 12, 5: 9, 6: 11, 7: 7}
{0: 12, 1: 12, 2: 8, 3: 9, 4: 13, 5: 9, 6: 12, 7: 8}
{0: 13, 1: 13, 2: 9, 3: 9, 4: 13, 5: 10, 6: 12, 7: 9}
{0: 13, 1: 14, 2: 10, 3: 10, 4: 13, 5: 11, 6: 12, 7: 10}
{0: 14, 1: 15, 2: 11, 3: 10, 4: 14, 5: 11, 6: 12, 7: 11}
{0: 15, 1: 15, 2: 11, 3: 10, 4: 15, 5: 12, 6: 13, 7: 12}
{0: 16, 1: 16, 2: 12, 3: 11, 4: 15, 5: 13, 6: 13, 7: 12}
{0: 17, 1: 16, 2: 13, 3: 11, 4: 16, 5: 14, 6: 14, 7: 12}
{0: 18, 1: 17, 2: 13, 3: 12, 4: 16, 5: 14, 6: 15, 7: 13}
{0: 19, 1: 17, 2: 13, 3: 12, 4: 17, 5: 15, 6: 16, 7: 14}
{0: 20, 1: 17, 2: 14, 3: 13, 4: 18, 5: 15, 6: 16, 7: 15}
{0: 20, 1: 18, 2: 14, 3: 14, 4: 19, 5: 15, 6: 17, 7: 15}
{0: 20, 1: 19, 2: 15, 3: 15, 4: 20, 5: 15, 6: 17, 7: 15}
{0: 20, 1: 20, 2: 16, 3: 15, 4: 21, 5: 15, 6: 18, 7: 16}
{0: 20, 1: 20, 2: 17, 3: 16, 4: 21, 5: 16, 6: 19, 7: 17}

{0: 1, 1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 1, 7: 0}
{0: 1, 1: 1, 2: 0, 3: 1, 4: 1, 5: 1, 6: 2, 7: 1}
{0: 1, 1: 2, 2: 1, 3: 2, 4: 1, 5: 1, 6: 3, 7: 2}
{0: 1, 1: 3, 2: 2, 3: 2, 4: 1, 5: 2, 6: 3, 7: 3}
{0: 2, 1: 4, 2: 2, 3: 3, 4: 1, 5: 2, 6: 4, 7: 4}
{0: 2, 1: 5, 2: 3, 3: 4, 4: 2, 5: 3, 6: 4, 7: 4}
{0: 2, 1: 6, 2: 4, 3: 5, 4: 3, 5: 4, 6: 4, 7: 4}
{0: 3, 1: 6, 2: 5, 3: 6, 4: 3, 5: 5, 6: 5, 7: 4}
{0: 4, 1: 7, 2: 5, 3: 6, 4: 4, 5: 6, 6: 5, 7: 5}
{0: 4, 1: 8, 2: 6, 3: 6, 4: 5, 5: 7, 6: 6, 7: 5}
{0: 5, 1: 8, 2: 7, 3: 7, 4: 5, 5: 8, 6: 7, 7: 5}
{0: 5, 1: 9, 2: 8, 3: 7, 4: 6, 5: 8, 6: 8, 7: 6}
{0: 6, 1: 9, 2: 9, 3: 7, 4: 7, 5: 8, 6: 9, 7: 7}
{0: 7, 1: 10, 2: 9, 3: 7, 4: 8, 5: 9, 6: 9, 7: 8}
{0: 8, 1: 11, 2: 9, 3: 7, 4: 8, 5: 10, 6: 9, 7: 9}
{0: 8, 1: 12, 2: 10, 3: 8, 4: 9, 5: 10, 6: 10, 7: 9}
{0: 9, 1: 12, 2: 11, 3: 8, 4: 10, 5: 10, 6: 11, 7: 10}
{0: 10, 1: 12, 2: 11, 3: 9, 4: 11, 5: 11, 6: 12, 7: 10}
{0: 10, 1: 12, 2: 12, 3: 10, 4: 12, 5: 12, 6: 13, 7: 10}
{0: 11, 1: 13, 2: 12, 3: 11, 4: 12, 5: 13, 6: 13, 7: 11}
{0: 12, 1: 14, 2: 12, 3: 12, 4: 12, 5: 14, 6: 14, 7: 11}
{0: 13, 1: 14, 2: 13, 3: 13, 4: 13, 5: 14, 6: 14, 7: 12}
{0: 14, 1: 14, 2: 14, 3: 14, 4: 13, 5: 15, 6: 14, 7: 13}
{0: 14, 1: 15, 2: 15, 3: 14, 4: 14, 5: 15, 6: 15, 7: 14}
{0: 14, 1: 15, 2: 15, 3: 15, 4: 15, 5: 15, 6: 16, 7: 15}
{0: 15, 1: 16, 2: 16, 3: 15, 4: 16, 5: 15, 6: 17, 7: 15}
{0: 15, 1: 17, 2: 17, 3: 16, 4: 16, 5: 16, 6: 18, 7: 15}
{0: 15, 1: 18, 2: 17, 3: 17, 4: 17, 5: 17, 6: 19, 7: 15}
{0: 16, 1: 19, 2: 18, 3: 17, 4: 18, 5: 17, 6: 20, 7: 15}
{0: 17, 1: 20, 2: 18, 3: 18, 4: 18, 5: 18, 6: 20, 7: 15}

