{0: 5, 1: 3, 2: 3, 3: 1, 4: 2, 5: 6, 6: 1, 7: 5}
{0: 6, 1: 4, 2: 3, 3: 1, 4: 3, 5: 7, 6: 1, 7: 6}
{0: 7, 1: 5, 2: 4, 3: 1, 4: 3, 5: 8, 6: 1, 7: 7}
{0: 7, 1: 5, 2: 5, 3: 2, 4: 4, 5: 9, 6: 1, 7: 7}
{0: 8, 1: 5, 2: 5, 3: 3, 4: 5, 5: 10, 6: 2, 7: 7}
{0: 8, 1: 6, 2: 6, 3: 3, 4: 6, 5: 11, 6: 2, 7: 8}
{0: 8, 1: 6, 2: 7, 3: 4, 4: 7, 5: 12, 6: 2, 7: 8}
{0: 8, 1: 7, 2: 7, 3: 5, 4: 8, 5: 12, 6: 3, 7: 9}
{0: 9, 1: 7, 2: 7, 3: 5, 4: 9, 5: 13, 6: 4, 7: 10}
{0: 10, 1: 8, 2: 8, 3: 5, 4: 9, 5: 14, 6: 5, 7: 10}
{0: 10, 1: 8, 2: 9, 3: 5, 4: 10, 5: 15, 6: 6, 7: 10}
{0: 10, 1: 9, 2: 9, 3: 5, 4: 11, 5: 16, 6: 6, 7: 10}
{0: 11, 1: 9, 2: 10, 3: 6, 4: 11, 5: 17, 6: 6, 7: 10}
{0: 11, 1: 10, 2: 10, 3: 7, 4: 11, 5: 18, 6: 7, 7: 10}
{0: 12, 1: 10, 2: 11, 3: 7, 4: 11, 5: 19, 6: 7, 7: 11}
{0: 13, 1: 11, 2: 11, 3: 8, 4: 11, 5: 20, 6: 7, 7: 11}
{0: 13, 1: 11, 2: 11, 3: 8, 4: 12, 5: 21, 6: 8, 7: 11}
{0: 14, 1: 11, 2: 12, 3: 8, 4: 13, 5: 22, 6: 9, 7: 11}
{0: 15, 1: 11, 2: 13, 3: 8, 4: 13, 5: 23, 6: 9, 7: 11}
{0: 15, 1: 11, 2: 14, 3: 8, 4: 14, 5: 24, 6: 9, 7: 12}
{0: 16, 1: 12, 2: 14, 3: 8, 4: 14, 5: 25, 6: 9, 7: 13}
{0: 16, 1: 12, 2: 14, 3: 9, 4: 14, 5: 26, 6: 10, 7: 14}
{0: 16, 1: 12, 2: 15, 3: 10, 4: 15, 5: 27, 6: 10, 7: 14}
{0: 16, 1: 12, 2: 16, 3: 10, 4: 16, 5: 27, 6: 11, 7: 14}
{0: 16, 1: 13, 2: 17, 3: 10, 4: 16, 5: 28, 6: 11, 7: 15}

{0: 0, 1: 1, 2: 1, 3: 0, 4: 0, 5: 1, 6: 1, 7: 1}
{0: 0, 1: 2, 2: 2, 3: 0, 4: 1, 5: 2, 6: 2, 7: 1}
{0: 0, 1: 2, 2: 3, 3: 1, 4: 2, 5: 3, 6: 3, 7: 1}
{0: 0, 1: 3, 2: 3, 3: 1, 4: 2, 5: 4, 6: 4, 7: 2}
{0: 0, 1: 4, 2: 3, 3: 1, 4: 3, 5: 5, 6: 4, 7: 3}
{0: 0, 1: 5, 2: 4, 3: 2, 4: 3, 5: 6, 6: 4, 7: 4}
{0: 0, 1: 6, 2: 5, 3: 2, 4: 4, 5: 7, 6: 4, 7: 4}
{0: 0, 1: 7, 2: 6, 3: 3, 4: 4, 5: 8, 6: 4, 7: 4}
{0: 0, 1: 7, 2: 6, 3: 4, 4: 4, 5: 9, 6: 5, 7: 5}
{0: 0, 1: 8, 2: 6, 3: 5, 4: 4, 5: 10, 6: 5, 7: 6}
{0: 0, 1: 9, 2: 6, 3: 5, 4: 5, 5: 11, 6: 5, 7: 7}
{0: 0, 1: 10, 2: 6, 3: 6, 4: 6, 5: 12, 6: 6, 7: 7}
{0: 1, 1: 10, 2: 6, 3: 6, 4: 7, 5: 13, 6: 6, 7: 8}
{0: 1, 1: 11, 2: 7, 3: 7, 4: 7, 5: 14, 6: 7, 7: 8}
{0: 2, 1: 12, 2: 7, 3: 8, 4: 7, 5: 15, 6: 7, 7: 8}
{0: 2, 1: 13, 2: 8, 3: 8, 4: 8, 5: 16, 6: 7, 7: 8}
{0: 3, 1: 14, 2: 9, 3: 9, 4: 8, 5: 17, 6: 7, 7: 8}
{0: 3, 1: 15, 2: 9, 3: 9, 4: 9, 5: 18, 6: 8, 7: 8}
{0: 4, 1: 16, 2: 9, 3: 10, 4: 9, 5: 18, 6: 9, 7: 8}
{0: 5, 1: 17, 2: 9, 3: 11, 4: 9, 5: 19, 6: 10, 7: 8}
{0: 5, 1: 18, 2: 10, 3: 11, 4: 10, 5: 20, 6: 10, 7: 8}
{0: 5, 1: 19, 2: 11, 3: 12, 4: 11, 5: 20, 6: 10, 7: 8}
{0: 6, 1: 19, 2: 12, 3: 13, 4: 12, 5: 21, 6: 10, 7: 8}
{0: 6, 1: 20, 2: 12, 3: 13, 4: 12, 5: 22, 6: 11, 7: 9}
{0: 6, 1: 20, 2: 13, 3: 13, 4: 12, 5: 23, 6: 12, 7: 10}
{0: 7, 1: 21, 2: 13, 3: 13, 4: 13, 5: 24, 6: 12, 7: 11}
{0: 8, 1: 21, 2: 14, 3: 13, 4: 14, 5: 24, 6: 12, 7: 12}
{0: 8, 1: 21, 2: 15, 3: 13, 4: 14, 5: 25, 6: 13, 7: 12}
{0: 8, 1: 21, 2: 16, 3: 13, 4: 14, 5: 26, 6: 14, 7: 13}
{0: 9, 1: 21, 2: 16, 3: 14, 4: 14, 5: 26, 6: 15, 7: 14}

{0: 1, 1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 0, 7: 1}
{0: 1, 1: 1, 2: 2, 3: 2, 4: 0, 5: 2, 6: 0, 7: 2}
