{0: 4, 1: 2, 2: 1, 3: 3, 4: 3, 5: 6, 6: 2, 7: 2}
{0: 5, 1: 3, 2: 1, 3: 3, 4: 3, 5: 6, 6: 3, 7: 3}
{0: 5, 1: 4, 2: 2, 3: 4, 4: 3, 5: 6, 6: 3, 7: 4}
{0: 6, 1: 4, 2: 3, 3: 5, 4: 3, 5: 7, 6: 3, 7: 5}
{0: 7, 1: 5, 2: 4, 3: 5, 4: 3, 5: 8, 6: 4, 7: 5}
{0: 7, 1: 5, 2: 5, 3: 6, 4: 4, 5: 8, 6: 5, 7: 6}
{0: 7, 1: 6, 2: 6, 3: 6, 4: 4, 5: 9, 6: 6, 7: 6}
{0: 7, 1: 6, 2: 7, 3: 7, 4: 5, 5: 9, 6: 7, 7: 7}
{0: 8, 1: 7, 2: 7, 3: 8, 4: 6, 5: 10, 6: 7, 7: 7}
{0: 8, 1: 7, 2: 8, 3: 9, 4: 6, 5: 11, 6: 7, 7: 8}
{0: 8, 1: 8, 2: 9, 3: 9, 4: 7, 5: 11, 6: 7, 7: 8}
{0: 8, 1: 9, 2: 10, 3: 9, 4: 7, 5: 11, 6: 7, 7: 9}
{0: 9, 1: 10, 2: 10, 3: 10, 4: 8, 5: 12, 6: 7, 7: 9}
{0: 9, 1: 11, 2: 11, 3: 10, 4: 9, 5: 12, 6: 8, 7: 9}
{0: 10, 1: 12, 2: 11, 3: 10, 4: 10, 5: 13, 6: 8, 7: 9}
{0: 11, 1: 12, 2: 11, 3: 10, 4: 10, 5: 14, 6: 8, 7: 10}
{0: 11, 1: 13, 2: 12, 3: 11, 4: 10, 5: 15, 6: 8, 7: 10}
{0: 11, 1: 14, 2: 13, 3: 12, 4: 10, 5: 15, 6: 9, 7: 10}
{0: 12, 1: 15, 2: 14, 3: 12, 4: 10, 5: 16, 6: 9, 7: 11}
{0: 12, 1: 15, 2: 15, 3: 13, 4: 10, 5: 17, 6: 10, 7: 11}
{0: 13, 1: 16, 2: 16, 3: 13, 4: 11, 5: 17, 6: 10, 7: 12}
{0: 13, 1: 17, 2: 16, 3: 13, 4: 11, 5: 18, 6: 11, 7: 13}
{0: 13, 1: 18, 2: 17, 3: 13, 4: 12, 5: 18, 6: 12, 7: 14}
{0: 14, 1: 19, 2: 17, 3: 14, 4: 12, 5: 18, 6: 12, 7: 15}
{0: 15, 1: 20, 2: 17, 3: 15, 4: 13, 5: 18, 6: 13, 7: 15}

{0: 0, 1: 1, 2: 1, 3: 0, 4: 1, 5: 1, 6: 0, 7: 1}
{0: 1, 1: 1, 2: 1, 3: 0, 4: 2, 5: 2, 6: 0, 7: 2}
{0: 1, 1: 1, 2: 2, 3: 1, 4: 2, 5: 3, 6: 1, 7: 2}
{0: 2, 1: 2, 2: 2, 3: 2, 4: 3, 5: 3, 6: 1, 7: 2}
{0: 3, 1: 3, 2: 2, 3: 3, 4: 3, 5: 4, 6: 1, 7: 3}
{0: 4, 1: 4, 2: 3, 3: 4, 4: 3, 5: 4, 6: 1, 7: 3}
{0: 4, 1: 4, 2: 3, 3: 5, 4: 4, 5: 4, 6: 2, 7: 4}
{0: 4, 1: 4, 2: 4, 3: 6, 4: 4, 5: 5, 6: 3, 7: 5}
{0: 4, 1: 5, 2: 5, 3: 7, 4: 5, 5: 5, 6: 3, 7: 5}
{0: 5, 1: 5, 2: 6, 3: 8, 4: 5, 5: 5, 6: 3, 7: 6}
{0: 5, 1: 6, 2: 6, 3: 9, 4: 6, 5: 5, 6: 3, 7: 6}
{0: 6, 1: 7, 2: 7, 3: 9, 4: 6, 5: 6, 6: 3, 7: 6}
{0: 7, 1: 7, 2: 8, 3: 9, 4: 6, 5: 7, 6: 4, 7: 6}
{0: 8, 1: 8, 2: 9, 3: 9, 4: 7, 5: 7, 6: 4, 7: 6}
{0: 8, 1: 9, 2: 10, 3: 9, 4: 7, 5: 7, 6: 5, 7: 7}
{0: 8, 1: 10, 2: 11, 3: 9, 4: 8, 5: 7, 6: 5, 7: 8}
{0: 8, 1: 11, 2: 11, 3: 9, 4: 9, 5: 7, 6: 6, 7: 9}
{0: 9, 1: 12, 2: 11, 3: 9, 4: 9, 5: 7, 6: 7, 7: 10}
{0: 10, 1: 13, 2: 11, 3: 10, 4: 10, 5: 7, 6: 8, 7: 10}
{0: 11, 1: 13, 2: 11, 3: 11, 4: 10, 5: 7, 6: 9, 7: 10}
{0: 12, 1: 13, 2: 11, 3: 12, 4: 10, 5: 8, 6: 9, 7: 10}
{0: 12, 1: 14, 2: 11, 3: 13, 4: 10, 5: 9, 6: 9, 7: 11}
{0: 13, 1: 15, 2: 11, 3: 13, 4: 11, 5: 9, 6: 10, 7: 12}
{0: 13, 1: 16, 2: 12, 3: 14, 4: 12, 5: 10, 6: 10, 7: 12}
{0: 14, 1: 17, 2: 12, 3: 14, 4: 12, 5: 11, 6: 11, 7: 12}
{0: 15, 1: 17, 2: 13, 3: 15, 4: 13, 5: 11, 6: 11, 7: 12}
{0: 15, 1: 17, 2: 13, 3: 16, 4: 14, 5: 12, 6: 11, 7: 13}
{0: 15, 1: 18, 2: 14, 3: 16, 4: 15, 5: 12, 6: 11, 7: 13}
{0: 15, 1: 19, 2: 15, 3: 17, 4: 16, 5: 12, 6: 12, 7: 13}
{0: 16, 1: 19, 2: 15, 3: 18, 4: 16, 5: 12, 6: 13, 7: 14}

{0: 1, 1: 1, 2: 0, 3: 0, 4: 0, 5: 1, 6: 1, 7: 1}
{0: 1, 1: 1, 2: 0, 3: 0, 4: 1, 5: 2, 6: 2, 7: 2}
{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 3, 6: 2, 7: 2}
{0: 2, 1: 2, 2: 1, 3: 1, 4: 2, 5: 3, 6: 2, 7: 3}
{0: 3, 1: 2, 2: 2, 3: 1, 4: 3, 5: 4, 6: 2, 7: 4}
{0: 4, 1: 3, 2: 3, 3: 1, 4: 3, 5: 4, 6: 2, 7: 5}
{0: 4, 1: 4, 2: 4, 3: 1, 4: 3, 5: 5, 6: 3, 7: 5}
{0: 4, 1: 4, 2: 5, 3: 2, 4: 3, 5: 6, 6: 4, 7: 5}
{0: 5, 1: 4, 2: 6, 3: 3, 4: 4, 5: 7, 6: 4, 7: 5}
{0: 5, 1: 4, 2: 7, 3: 4, 4: 5, 5: 8, 6: 4, 7: 5}
{0: 5, 1: 5, 2: 7, 3: 4, 4: 6, 5: 9, 6: 4, 7: 6}
{0: 5, 1: 6, 2: 7, 3: 5, 4: 7, 5: 9, 6: 5, 7: 7}
{0: 6, 1: 7, 2: 7, 3: 5, 4: 8, 5: 9, 6: 6, 7: 8}
{0: 7, 1: 7, 2: 8, 3: 5, 4: 9, 5: 9, 6: 6, 7: 9}
{0: 7, 1: 7, 2: 8, 3: 5, 4: 10, 5: 10, 6: 6, 7: 10}
{0: 8, 1: 7, 2: 9, 3: 5, 4: 10, 5: 11, 6: 7, 7: 10}
{0: 8, 1: 8, 2: 9, 3: 5, 4: 11, 5: 12, 6: 8, 7: 10}
{0: 8, 1: 8, 2: 10, 3: 5, 4: 11, 5: 13, 6: 8, 7: 11}
{0: 8, 1: 9, 2: 10, 3: 5, 4: 12, 5: 13, 6: 8, 7: 12}
{0: 8, 1: 9, 2: 10, 3: 5, 4: 13, 5: 14, 6: 8, 7: 13}
{0: 9, 1: 10, 2: 11, 3: 5, 4: 14, 5: 14, 6: 8, 7: 13}
{0: 10, 1: 11, 2: 11, 3: 5, 4: 15, 5: 14, 6: 8, 7: 14}
{0: 10, 1: 12, 2: 12, 3: 5, 4: 15, 5: 14, 6: 9, 7: 15}
{0: 11, 1: 13, 2: 13, 3: 5, 4: 15, 5: 14, 6: 10, 7: 15}
{0: 12, 1: 14, 2: 13, 3: 6, 4: 16, 5: 14, 6: 10, 7: 16}
{0: 12, 1: 14, 2: 14, 3: 7, 4: 16, 5: 15, 6: 11, 7: 17}
{0: 13, 1: 15, 2: 15, 3: 8, 4: 16, 5: 15, 6: 11, 7: 18}
{0: 13, 1: 16, 2: 15, 3: 8, 4: 17, 5: 15, 6: 12, 7: 19}
{0: 13, 1: 17, 2: 15, 3: 8, 4: 18, 5: 16, 6: 13, 7: 19}
{0: 13, 1: 17, 2: 16, 3: 9, 4: 19, 5: 16, 6: 13, 7: 20}

