{0: 3, 1: 1, 2: 5, 3: 2, 4: 5, 5: 4, 6: 2, 7: 5}
{0: 3, 1: 2, 2: 5, 3: 3, 4: 6, 5: 4, 6: 2, 7: 6}
{0: 3, 1: 3, 2: 6, 3: 4, 4: 6, 5: 4, 6: 2, 7: 7}
{0: 3, 1: 4, 2: 6, 3: 5, 4: 7, 5: 4, 6: 3, 7: 8}
{0: 3, 1: 5, 2: 7, 3: 6, 4: 7, 5: 4, 6: 3, 7: 9}
{0: 4, 1: 6, 2: 7, 3: 6, 4: 7, 5: 4, 6: 4, 7: 10}
{0: 4, 1: 6, 2: 7, 3: 7, 4: 8, 5: 5, 6: 4, 7: 11}
{0: 4, 1: 7, 2: 8, 3: 8, 4: 9, 5: 5, 6: 4, 7: 11}
{0: 4, 1: 7, 2: 9, 3: 9, 4: 10, 5: 5, 6: 5, 7: 12}
{0: 4, 1: 8, 2: 10, 3: 9, 4: 11, 5: 5, 6: 5, 7: 13}
{0: 4, 1: 9, 2: 11, 3: 9, 4: 12, 5: 5, 6: 5, 7: 14}
{0: 5, 1: 10, 2: 11, 3: 9, 4: 13, 5: 5, 6: 6, 7: 15}
{0: 6, 1: 11, 2: 11, 3: 9, 4: 14, 5: 6, 6: 6, 7: 16}
{0: 7, 1: 12, 2: 11, 3: 9, 4: 15, 5: 6, 6: 6, 7: 17}
{0: 8, 1: 12, 2: 11, 3: 10, 4: 15, 5: 7, 6: 6, 7: 18}
{0: 9, 1: 13, 2: 11, 3: 10, 4: 15, 5: 7, 6: 7, 7: 19}
{0: 10, 1: 13, 2: 11, 3: 11, 4: 15, 5: 8, 6: 8, 7: 20}
{0: 11, 1: 13, 2: 12, 3: 11, 4: 16, 5: 8, 6: 8, 7: 21}
{0: 12, 1: 14, 2: 12, 3: 11, 4: 16, 5: 9, 6: 9, 7: 22}
{0: 12, 1: 14, 2: 12, 3: 12, 4: 16, 5: 10, 6: 10, 7: 23}
{0: 13, 1: 14, 2: 12, 3: 13, 4: 17, 5: 10, 6: 10, 7: 24}
{0: 13, 1: 14, 2: 13, 3: 14, 4: 18, 5: 11, 6: 10, 7: 25}
{0: 13, 1: 15, 2: 14, 3: 15, 4: 18, 5: 12, 6: 10, 7: 26}
{0: 13, 1: 16, 2: 15, 3: 15, 4: 19, 5: 12, 6: 11, 7: 27}
{0: 13, 1: 16, 2: 16, 3: 16, 4: 20, 5: 13, 6: 11, 7: 28}

{0: 1, 1: 0, 2: 1, 3: 1, 4: 0, 5: 0, 6: 0, 7: 1}
{0: 1, 1: 1, 2: 1, 3: 1, 4: 1, 5: 0, 6: 1, 7: 2}
{0: 2, 1: 1, 2: 1, 3: 2, 4: 2, 5: 0, 6: 1, 7: 3}
