{0: 3, 1: 2, 2: 3, 3: 2, 4: 3, 5: 3, 6: 5, 7: 3}
{0: 4, 1: 2, 2: 3, 3: 2, 4: 3, 5: 3, 6: 5, 7: 3}
{0: 4, 1: 2, 2: 3, 3: 2, 4: 3, 5: 3, 6: 5, 7: 4}
{0: 4, 1: 3, 2: 3, 3: 2, 4: 3, 5: 3, 6: 5, 7: 4}
{0: 4, 1: 3, 2: 4, 3: 2, 4: 3, 5: 3, 6: 5, 7: 4}
{0: 4, 1: 3, 2: 4, 3: 2, 4: 3, 5: 3, 6: 5, 7: 5}
{0: 4, 1: 3, 2: 4, 3: 2, 4: 3, 5: 3, 6: 5, 7: 6}
{0: 5, 1: 3, 2: 4, 3: 2, 4: 3, 5: 3, 6: 5, 7: 6}
{0: 5, 1: 4, 2: 4, 3: 2, 4: 3, 5: 3, 6: 5, 7: 6}
{0: 5, 1: 4, 2: 4, 3: 2, 4: 4, 5: 3, 6: 5, 7: 6}
{0: 5, 1: 4, 2: 4, 3: 2, 4: 4, 5: 3, 6: 5, 7: 7}
{0: 5, 1: 4, 2: 4, 3: 2, 4: 4, 5: 3, 6: 5, 7: 8}
{0: 5, 1: 4, 2: 4, 3: 3, 4: 4, 5: 3, 6: 5, 7: 8}
{0: 5, 1: 4, 2: 4, 3: 3, 4: 5, 5: 3, 6: 5, 7: 8}
{0: 5, 1: 4, 2: 4, 3: 3, 4: 5, 5: 3, 6: 5, 7: 9}
{0: 5, 1: 4, 2: 4, 3: 3, 4: 5, 5: 4, 6: 5, 7: 9}
{0: 5, 1: 4, 2: 5, 3: 3, 4: 5, 5: 4, 6: 5, 7: 9}
{0: 5, 1: 4, 2: 5, 3: 3, 4: 5, 5: 5, 6: 5, 7: 9}
{0: 5, 1: 4, 2: 6, 3: 3, 4: 5, 5: 5, 6: 5, 7: 9}
{0: 5, 1: 4, 2: 6, 3: 4, 4: 5, 5: 5, 6: 5, 7: 9}
{0: 5, 1: 4, 2: 7, 3: 4, 4: 5, 5: 5, 6: 5, 7: 9}
{0: 5, 1: 4, 2: 7, 3: 4, 4: 5, 5: 5, 6: 5, 7: 10}
{0: 5, 1: 4, 2: 7, 3: 4, 4: 5, 5: 5, 6: 5, 7: 11}
{0: 5, 1: 4, 2: 8, 3: 4, 4: 5, 5: 5, 6: 5, 7: 11}
{0: 5, 1: 4, 2: 9, 3: 4, 4: 5, 5: 5, 6: 5, 7: 11}

{0: 0, 1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 1, 7: 1}
{0: 1, 1: 0, 2: 0, 3: 0, 4: 2, 5: 1, 6: 1, 7: 2}
{0: 1, 1: 0, 2: 1, 3: 1, 4: 3, 5: 1, 6: 1, 7: 2}
{0: 1, 1: 0, 2: 2, 3: 1, 4: 4, 5: 1, 6: 1, 7: 2}
{0: 2, 1: 0, 2: 2, 3: 1, 4: 5, 5: 1, 6: 1, 7: 2}
{0: 2, 1: 0, 2: 2, 3: 1, 4: 5, 5: 1, 6: 2, 7: 2}
{0: 2, 1: 0, 2: 2, 3: 1, 4: 5, 5: 1, 6: 3, 7: 2}
{0: 2, 1: 0, 2: 3, 3: 1, 4: 6, 5: 1, 6: 3, 7: 2}
{0: 2, 1: 1, 2: 3, 3: 1, 4: 6, 5: 1, 6: 3, 7: 2}
{0: 2, 1: 1, 2: 3, 3: 1, 4: 6, 5: 1, 6: 3, 7: 3}
{0: 3, 1: 1, 2: 3, 3: 1, 4: 6, 5: 1, 6: 3, 7: 3}
{0: 3, 1: 1, 2: 3, 3: 1, 4: 6, 5: 1, 6: 3, 7: 4}
{0: 3, 1: 1, 2: 3, 3: 2, 4: 6, 5: 1, 6: 3, 7: 4}
{0: 3, 1: 1, 2: 3, 3: 2, 4: 7, 5: 1, 6: 3, 7: 4}
{0: 3, 1: 1, 2: 3, 3: 2, 4: 7, 5: 1, 6: 4, 7: 4}
{0: 3, 1: 1, 2: 4, 3: 2, 4: 7, 5: 1, 6: 4, 7: 4}
{0: 3, 1: 1, 2: 5, 3: 2, 4: 7, 5: 1, 6: 4, 7: 4}
{0: 3, 1: 1, 2: 5, 3: 2, 4: 7, 5: 1, 6: 5, 7: 4}
{0: 4, 1: 1, 2: 5, 3: 2, 4: 7, 5: 1, 6: 5, 7: 4}
{0: 4, 1: 1, 2: 6, 3: 2, 4: 7, 5: 1, 6: 5, 7: 4}
{0: 4, 1: 1, 2: 6, 3: 3, 4: 7, 5: 1, 6: 5, 7: 4}
{0: 4, 1: 1, 2: 6, 3: 3, 4: 7, 5: 1, 6: 6, 7: 4}
{0: 4, 1: 1, 2: 6, 3: 3, 4: 7, 5: 1, 6: 6, 7: 5}
{0: 4, 1: 1, 2: 6, 3: 3, 4: 7, 5: 2, 6: 6, 7: 5}
{0: 4, 1: 1, 2: 6, 3: 3, 4: 7, 5: 2, 6: 7, 7: 5}
{0: 5, 1: 1, 2: 6, 3: 3, 4: 7, 5: 2, 6: 7, 7: 5}
{0: 5, 1: 1, 2: 6, 3: 3, 4: 8, 5: 2, 6: 7, 7: 5}
{0: 5, 1: 1, 2: 6, 3: 3, 4: 9, 5: 2, 6: 7, 7: 5}
{0: 5, 1: 1, 2: 6, 3: 3, 4: 9, 5: 3, 6: 7, 7: 5}
