{0: 0, 1: 3, 2: 3, 3: 6, 4: 4, 5: 4, 6: 6, 7: 3}
{0: 0, 1: 4, 2: 3, 3: 7, 4: 5, 5: 5, 6: 6, 7: 4}
{0: 1, 1: 5, 2: 4, 3: 7, 4: 5, 5: 6, 6: 6, 7: 5}
{0: 2, 1: 5, 2: 5, 3: 8, 4: 5, 5: 7, 6: 6, 7: 5}
{0: 2, 1: 5, 2: 6, 3: 9, 4: 6, 5: 7, 6: 7, 7: 6}
{0: 2, 1: 5, 2: 7, 3: 10, 4: 6, 5: 8, 6: 7, 7: 7}
{0: 2, 1: 5, 2: 8, 3: 11, 4: 6, 5: 9, 6: 8, 7: 7}
{0: 2, 1: 6, 2: 9, 3: 12, 4: 7, 5: 10, 6: 8, 7: 7}
{0: 2, 1: 6, 2: 10, 3: 13, 4: 8, 5: 11, 6: 9, 7: 7}
{0: 2, 1: 7, 2: 11, 3: 13, 4: 9, 5: 11, 6: 10, 7: 8}
{0: 2, 1: 8, 2: 12, 3: 13, 4: 10, 5: 12, 6: 10, 7: 8}
{0: 2, 1: 9, 2: 13, 3: 13, 4: 10, 5: 13, 6: 11, 7: 9}
{0: 2, 1: 10, 2: 13, 3: 14, 4: 10, 5: 14, 6: 11, 7: 10}
{0: 3, 1: 11, 2: 13, 3: 14, 4: 11, 5: 14, 6: 12, 7: 11}
{0: 3, 1: 12, 2: 13, 3: 15, 4: 12, 5: 15, 6: 12, 7: 12}
{0: 3, 1: 12, 2: 13, 3: 16, 4: 13, 5: 16, 6: 13, 7: 13}
{0: 3, 1: 13, 2: 14, 3: 17, 4: 14, 5: 17, 6: 13, 7: 13}
{0: 3, 1: 14, 2: 15, 3: 18, 4: 14, 5: 18, 6: 14, 7: 13}
{0: 4, 1: 15, 2: 15, 3: 18, 4: 15, 5: 19, 6: 15, 7: 13}
{0: 4, 1: 15, 2: 16, 3: 18, 4: 16, 5: 19, 6: 16, 7: 14}
{0: 4, 1: 16, 2: 17, 3: 19, 4: 16, 5: 19, 6: 17, 7: 15}
{0: 4, 1: 17, 2: 17, 3: 20, 4: 17, 5: 19, 6: 18, 7: 16}
{0: 4, 1: 18, 2: 18, 3: 21, 4: 17, 5: 19, 6: 19, 7: 17}
{0: 5, 1: 19, 2: 18, 3: 21, 4: 18, 5: 19, 6: 20, 7: 18}
{0: 5, 1: 20, 2: 19, 3: 22, 4: 19, 5: 19, 6: 21, 7: 18}

{0: 0, 1: 0, 2: 1, 3: 1, 4: 1, 5: 1, 6: 0, 7: 1}
{0: 0, 1: 0, 2: 1, 3: 2, 4: 2, 5: 2, 6: 1, 7: 2}
{0: 0, 1: 1, 2: 2, 3: 2, 4: 2, 5: 3, 6: 2, 7: 3}
{0: 0, 1: 2, 2: 2, 3: 2, 4: 3, 5: 3, 6: 3, 7: 4}
{0: 0, 1: 3, 2: 3, 3: 2, 4: 4, 5: 4, 6: 4, 7: 4}
{0: 1, 1: 4, 2: 3, 3: 3, 4: 4, 5: 5, 6: 4, 7: 4}
{0: 1, 1: 5, 2: 4, 3: 4, 4: 4, 5: 5, 6: 5, 7: 5}
{0: 2, 1: 5, 2: 5, 3: 5, 4: 4, 5: 6, 6: 5, 7: 6}
{0: 3, 1: 6, 2: 6, 3: 6, 4: 4, 5: 6, 6: 6, 7: 6}
{0: 3, 1: 7, 2: 7, 3: 6, 4: 5, 5: 6, 6: 7, 7: 7}
{0: 4, 1: 8, 2: 7, 3: 6, 4: 6, 5: 6, 6: 8, 7: 8}
{0: 5, 1: 8, 2: 8, 3: 7, 4: 7, 5: 6, 6: 8, 7: 9}
{0: 6, 1: 9, 2: 8, 3: 8, 4: 7, 5: 7, 6: 8, 7: 10}
{0: 6, 1: 9, 2: 8, 3: 9, 4: 8, 5: 8, 6: 9, 7: 10}
